,movie_name,movie_year,movie_rating,user_votes
145,Million Dollar Baby,2004,8.1,710K
146,Blade Runner,1982,8.1,805K
147,Mary and Max,2009,8.1,184K
148,The Third Man,1949,8.1,179K
149,12 Years a Slave,2013,8.1,728K
150,Hacksaw Ridge,2016,8.1,573K
151,The Grand Budapest Hotel,2014,8.1,864K
152,The Deer Hunter,1978,8.1,355K
153,Gone Girl,2014,8.1,1M
154,Dead Poets Society,1989,8.1,527K
155,How to Train Your Dragon,2010,8.1,780K
156,Mad Max: Fury Road,2015,8.1,1.1M
157,"Monsters, Inc.",2001,8.1,955K
158,Ford v Ferrari,2019,8.1,443K
159,Jaws,1975,8.1,645K
160,The Grapes of Wrath,1940,8.1,98K
161,Room,2015,8.1,441K
162,The Big Lebowski,1998,8.1,843K
163,The Red Shoes,1948,8.1,38K
164,All Quiet on the Western Front,1930,8.1,66K
165,Hotel Rwanda,2004,8.1,367K
166,Ratatouille,2007,8.1,795K
167,Network,1976,8.1,167K
168,Rocky,1976,8.1,614K
169,Logan,2017,8.1,809K
170,Before Sunset,2004,8.1,281K
171,Hachi: A Dog's Tale,2009,8.1,303K
172,Platoon,1986,8.1,431K
173,Paper Moon,1973,8.1,51K
174,Spotlight,2015,8.1,492K
175,It Happened One Night,1934,8.1,110K
176,Rebecca,1940,8.1,144K
177,Rush,2013,8.1,502K
178,The Sound of Music,1965,8.1,251K
179,Stand by Me,1986,8.1,430K
180,The Terminator,1984,8.1,905K
181,The Exorcist,1973,8.1,444K
182,The Wizard of Oz,1939,8.1,419K
183,Into the Wild,2007,8.1,646K
184,Cool Hand Luke,1967,8.1,185K
185,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2M
186,Inherit the Wind,1960,8.1,32K
187,The Man Who Shot Liberty Valance,1962,8.1,81K
188,"Paris, Texas",1984,8.1,114K
189,The Incredibles,2004,8.0,785K
190,The Iron Giant,1999,8.1,218K
191,White Heat,1949,8.1,35K
192,Ace in the Hole,1951,8.1,38K
193,Groundhog Day,1993,8.0,666K
194,The Help,2011,8.1,482K
195,Gandhi,1982,8.0,238K
196,Dances with Wolves,1990,8.0,283K
197,Scent of a Woman,1992,8.0,320K
198,Life of Brian,1979,8.0,417K
199,Beauty and the Beast,1991,8.0,472K
200,Aladdin,1992,8.0,452K
201,A Woman Under the Influence,1974,8.1,28K
202,Guardians of the Galaxy,2014,8.0,1.2M
203,Roman Holiday,1953,8.0,145K
204,Soul,2020,8.0,361K
205,Dog Day Afternoon,1975,8.0,269K
206,Kill Bill: Vol. 2,2004,8.0,789K
207,Lion,2016,8.0,246K
208,JFK,1991,8.0,166K
209,Song of the Sea,2014,8.0,62K
210,Donnie Darko,2001,8.0,834K
211,The Princess Bride,1987,8.0,443K
212,Rosemary's Baby,1968,8.0,230K
213,The Shop Around the Corner,1940,8.0,37K
214,Anatomy of a Murder,1959,8.0,70K
215,Slumdog Millionaire,2008,8.0,867K
216,Brief Encounter,1945,8.0,43K
217,Killers of the Flower Moon,2023,8.0,78K
218,The Imitation Game,2014,8.0,807K
219,Butch Cassidy and the Sundance Kid,1969,8.0,224K
220,Dune,2021,8.0,725K
221,La La Land,2016,8.0,640K
222,The Avengers,2012,8.0,1.4M
223,What Ever Happened to Baby Jane?,1962,8.0,60K
224,Casino Royale,2006,8.0,682K
225,The Bourne Ultimatum,2007,8.0,651K
226,Magnolia,1999,8.0,324K
227,The King's Speech,2010,8.0,700K
228,Black Swan,2010,8.0,805K
229,Rain Man,1988,8.0,536K
230,Sin City,2005,8.0,786K
231,The Martian,2015,8.0,900K
232,The Message,1976,8.1,50K
233,The Pursuit of Happyness,2006,8.0,546K
234,The Legend of 1900,1998,8.0,68K
235,Dogville,2003,8.0,156K
236,Kind Hearts and Coronets,1949,8.0,39K
237,Zootopia,2016,8.0,531K
238,Secrets & Lies,1996,8.0,46K
239,Who's Afraid of Virginia Woolf?,1966,8.0,79K
240,The Graduate,1967,8.0,284K
241,Planet of the Apes,1968,8.0,189K
242,Sweet Smell of Success,1957,8.0,35K
243,The Straight Story,1999,8.0,95K
244,The Night of the Hunter,1955,8.0,95K
245,12 Monkeys,1995,8.0,638K
246,Papillon,1973,8.0,136K
247,Blood Diamond,2006,8.0,575K
248,Blade Runner 2049,2017,8.0,631K
249,Her,2013,8.0,651K
